RECORD,SPECIES,PRESENCE,CAMS,SITE,DATE,DAY,YEAR,ORDINAL.DATE,WINTER.DAY,SPRING.DAY,WINT.SPR.DAY,ALL.RESTS,SEASON,NO.EVENTS,DATE.CYCLE
6402,REST,1,1,FROGDEN1,23/02/2015,23,15,54,84,NA,84,1,WINTER,1,1
6403,NO,0,1,FROGDEN1,24/02/2015,24,15,55,85,NA,85,0,WINTER,0,1
6404,NO,0,1,FROGDEN1,25/02/2015,25,15,56,86,NA,86,0,WINTER,0,1
6405,O,1,1,FROGDEN1,26/02/2015,26,15,57,87,NA,87,0,WINTER,1,1
6406,REST,1,1,FROGDEN1,27/02/2015,27,15,58,88,NA,88,1,WINTER,12,1
6418,REST,1,1,FROGDEN1,28/02/2015,28,15,59,89,NA,89,1,WINTER,4,1
6422,NO,0,1,FROGDEN1,01/03/2015,1,15,60,NA,1,90,0,SPRING,0,1
6423,NO,0,1,FROGDEN1,02/03/2015,2,15,61,NA,2,91,0,SPRING,0,1
6424,NO,0,1,FROGDEN1,03/03/2015,3,15,62,NA,3,92,0,SPRING,0,1
6425,REST,1,1,FROGDEN1,04/03/2015,4,15,63,NA,4,93,1,SPRING,3,1
6428,O,1,1,FROGDEN1,05/03/2015,5,15,64,NA,5,94,0,SPRING,5,1
6433,NO,0,1,FROGDEN1,06/03/2015,6,15,65,NA,6,95,0,SPRING,0,1
6434,O,1,1,FROGDEN1,07/03/2015,7,15,66,NA,7,96,0,SPRING,1,1
6435,NO,0,1,FROGDEN1,08/03/2015,8,15,67,NA,8,97,0,SPRING,0,1
6436,O,1,1,FROGDEN1,09/03/2015,9,15,68,NA,9,98,0,SPRING,2,1
6438,NO,0,1,FROGDEN1,10/03/2015,10,15,69,NA,10,99,0,SPRING,0,1
6439,O,1,1,FROGDEN1,11/03/2015,11,15,70,NA,11,100,0,SPRING,3,1
6442,NO,0,1,FROGDEN1,12/03/2015,12,15,71,NA,12,101,0,SPRING,0,1
6443,O,1,1,FROGDEN1,13/03/2015,13,15,72,NA,13,102,0,SPRING,4,1
6447,O,1,1,FROGDEN1,14/03/2015,14,15,73,NA,14,103,0,SPRING,1,1
6448,REST,1,1,FROGDEN1,15/03/2015,15,15,74,NA,15,104,1,SPRING,7,1
6455,O,1,1,FROGDEN1,16/03/2015,16,15,75,NA,16,105,0,SPRING,20,1
6475,O,1,1,FROGDEN1,17/03/2015,17,15,76,NA,17,106,0,SPRING,1,1
6476,NO,0,1,FROGDEN1,18/03/2015,18,15,77,NA,18,107,0,SPRING,0,1
6477,NO,0,1,FROGDEN1,19/03/2015,19,15,78,NA,19,108,0,SPRING,0,1
6478,REST,1,1,FROGDEN1,20/03/2015,20,15,79,NA,20,109,1,SPRING,5,1
6483,NO,0,1,FROGDEN1,21/03/2015,21,15,80,NA,21,110,0,SPRING,0,1
6484,NO,0,1,FROGDEN1,22/03/2015,22,15,81,NA,22,111,0,SPRING,0,1
6485,NO,0,1,FROGDEN1,23/03/2015,23,15,82,NA,23,112,0,SPRING,0,1
6486,NO,0,1,FROGDEN1,24/03/2015,24,15,83,NA,24,113,0,SPRING,0,1
6487,NO,0,1,FROGDEN1,25/03/2015,25,15,84,NA,25,114,0,SPRING,0,1
