RECORD,SPECIES,PRESENCE,CAMS,SITE,MONTH,DATE,DAY,YEAR,ORDINAL.DATE,ALL.RESTS,SEASON,WINTER.DAY,SPRING.DAY,WINT.SPR.DAY,DATE.CYCLE
1211,O,1,,GORDON,2,26/02/2016,26,16,57,0,WINTER,NA,NA,NA,0
1212,NO,0,,GORDON,2,27/02/2016,27,16,58,0,WINTER,NA,NA,NA,0
1213,NO,0,,GORDON,2,28/02/2016,28,16,59,0,WINTER,NA,NA,NA,0
1214,O,1,,GORDON,2,29/02/2016,29,16,60,0,WINTER,NA,NA,NA,0
1216,O,1,,GORDON,3,01/03/2016,1,16,61,0,SPRING,NA,1,1,0
1218,NO,0,,GORDON,3,02/03/2016,2,16,62,0,SPRING,NA,2,2,0
1219,O,1,,GORDON,3,03/03/2016,3,16,63,0,SPRING,NA,3,3,0
1220,NO,0,,GORDON,3,04/03/2016,4,16,64,0,SPRING,NA,4,4,0
1221,O,1,,GORDON,3,05/03/2016,5,16,65,0,SPRING,NA,5,5,0
1223,O,1,,GORDON,3,06/03/2016,6,16,66,0,SPRING,NA,6,6,0
1225,NO,0,,GORDON,3,07/03/2016,7,16,67,0,SPRING,NA,7,7,0
1226,O,1,,GORDON,3,08/03/2016,8,16,68,0,SPRING,NA,8,8,0
1228,O,1,,GORDON,3,09/03/2016,9,16,69,0,SPRING,NA,9,9,0
1229,NO,0,,GORDON,3,10/03/2016,10,16,70,0,SPRING,NA,10,10,0
1230,O,1,,GORDON,3,11/03/2016,11,16,71,0,SPRING,NA,11,11,0
1232,O,1,,GORDON,3,12/03/2016,12,16,72,0,SPRING,NA,12,12,0
1233,NO,0,,GORDON,3,13/03/2016,13,16,73,0,SPRING,NA,13,13,0
1234,NO,0,,GORDON,3,14/03/2016,14,16,74,0,SPRING,NA,14,14,0
1235,NO,0,,GORDON,3,15/03/2016,15,16,75,0,SPRING,NA,15,15,0
1236,O,1,,GORDON,3,16/03/2016,16,16,76,0,SPRING,NA,16,16,0
1237,NO,0,,GORDON,3,17/03/2016,17,16,77,0,SPRING,NA,17,17,0
1238,NO,0,,GORDON,3,18/03/2016,18,16,78,0,SPRING,NA,18,18,0
1239,NO,0,,GORDON,3,19/03/2016,19,16,79,0,SPRING,NA,19,19,0
1240,NO,0,,GORDON,3,20/03/2016,20,16,80,0,SPRING,NA,20,20,0
1241,NO,0,,GORDON,3,21/03/2016,21,16,81,0,SPRING,NA,21,21,0
1242,NO,0,,GORDON,3,22/03/2016,22,16,82,0,SPRING,NA,22,22,0
1243,O,1,,GORDON,3,23/03/2016,23,16,83,0,SPRING,NA,23,23,0
1244,NO,0,,GORDON,3,24/03/2016,24,16,84,0,SPRING,NA,24,24,0
1245,O,1,,GORDON,3,25/03/2016,25,16,85,0,SPRING,NA,25,25,0
1246,NO,0,,GORDON,3,26/03/2016,26,16,86,0,SPRING,NA,26,26,0
1247,NO,0,,GORDON,3,27/03/2016,27,16,87,0,SPRING,NA,27,27,0
1248,NO,0,,GORDON,3,28/03/2016,28,16,88,0,SPRING,NA,28,28,0
1249,O,1,,GORDON,3,29/03/2016,29,16,89,0,SPRING,NA,29,29,0
1250,NO,0,,GORDON,3,30/03/2016,30,16,90,0,SPRING,NA,30,30,0
